policy,hour,battery_soh,pemel_soh,pemfc_soh
C2,6895,0.998831575353659,0.9818934782674714,0.999905651515152
C2,6896,0.998831491036329,0.9818909519516816,0.999905651515152
C2,6897,0.998831406725111,0.9818884256358917,0.999905651515152
C2,6898,0.998831322420004,0.981885899320103,0.999905651515152
C2,6899,0.998831238121006,0.9818833730043132,0.999905651515152
C2,6900,0.998831153828117,0.9818808466885234,0.999905651515152
C2,6901,0.998831069541335,0.9818783203727346,0.999905651515152
C2,6902,0.998830985260659,0.9818757940569447,0.999905651515152
C2,6903,0.998830900986088,0.9818732677411549,0.999905651515152
C2,6904,0.998830816717619,0.9818707414253661,0.999905651515152
C2,6905,0.998830732455252,0.9818682151095763,0.999905651515152
C2,6906,0.998830648198986,0.9818656887937864,0.999905651515152
C2,6907,0.998830563948819,0.9818631624779977,0.999905651515152
C2,6908,0.998830479704749,0.9818606361622079,0.999905651515152
C2,6909,0.998830395466776,0.9818581098464182,0.999905651515152
C2,6910,0.998830311234898,0.9818555835306293,0.999905651515152
C2,6911,0.998830227009114,0.9818530572148394,0.999905651515152
C2,6912,0.998830142789423,0.9818505308990497,0.999905651515152
C2,6913,0.998830058575822,0.9818480045832608,0.999905651515152
C2,6914,0.998829974368312,0.981845478267471,0.999905651515152
C2,6915,0.99882989016689,0.9818429519516813,0.999905651515152
C2,6916,0.998829805971555,0.9818404256358925,0.999905651515152
C2,6917,0.998829721782306,0.9818378993201026,0.999905651515152
C2,6918,0.998829637599142,0.9818353730043129,0.999905651515152
C2,6919,0.998829553422061,0.981832846688524,0.999905651515152
C2,6920,0.998829469251062,0.9818303203727342,0.999905651515152
C2,6921,0.998829385086143,0.9818277940569444,0.999905651515152
C2,6922,0.998829300927304,0.9818252677411555,0.999905651515152
C2,6923,0.998829216774543,0.9818227414253659,0.999905651515152
C2,6924,0.998829132627859,0.981820215109576,0.999905651515152
C2,6925,0.99882904848725,0.9818176887937872,0.999905651515152
C2,6926,0.998828964352714,0.9818151624779974,0.999905651515152
C2,6927,0.998828880224252,0.9818126361622076,0.999905651515152
C2,6928,0.998828796101861,0.9818101098464187,0.999905651515152
C2,6929,0.99882871198554,0.981807583530629,0.999905651515152
C2,6930,0.998828627875288,0.9818050572148391,0.999905651515152
C2,6931,0.998828543771103,0.9818025308990502,0.999905651515152
C2,6932,0.998828459672985,0.9818000045832606,0.999905651515152
C2,6933,0.998828375580931,0.9817974782674708,0.999905651515152
C2,6934,0.998828291494941,0.981794951951682,0.999905651515152
C2,6935,0.998828207415013,0.9817924256358921,0.999905651515152
C2,6936,0.998828123341146,0.9817898993201023,0.999905651515152
C2,6937,0.998828039273339,0.9817873730043135,0.999905651515152
C2,6938,0.99882795521159,0.9817848466885237,0.999905651515152
C2,6939,0.998827871155898,0.9817823203727338,0.999905651515152
C2,6940,0.998827787106261,0.981779794056945,0.999905651515152
C2,6941,0.998827703062679,0.9817772677411553,0.999905651515152
C2,6942,0.99882761902515,0.9817747414253655,0.999905651515152
C2,6943,0.998827534993673,0.9817722151095767,0.999905651515152
C2,6944,0.998827450968246,0.9817696887937868,0.999905651515152
C2,6945,0.998827366948868,0.981767162477997,0.999905651515152
C2,6946,0.998827282935538,0.9817646361622082,0.999905651515152
C2,6947,0.998827198928255,0.9817621098464184,0.999905651515152
C2,6948,0.998827114927017,0.9817595835306285,0.999905651515152
C2,6949,0.998827030931822,0.9817570572148399,0.999905651515152
C2,6950,0.998826946942671,0.98175453089905,0.999905651515152
C2,6951,0.99882686295956,0.9817520045832603,0.999905651515152
C2,6952,0.99882677898249,0.9817494782674714,0.999905651515152
C2,6953,0.998826695011458,0.9817469519516816,0.999905651515152
C2,6954,0.998826611046464,0.9817444256358918,0.999905651515152
C2,6955,0.998826527087506,0.9817418993201029,0.999905651515152
C2,6956,0.998826443134582,0.9817393730043131,0.999905651515152
C2,6957,0.998826359187692,0.9817368466885233,0.999905651515152
C2,6958,0.998826275246835,0.9817343203727346,0.999905651515152
C2,6959,0.998826191312008,0.9817317940569447,0.999905651515152
C2,6960,0.99882610738321,0.981729267741155,0.999905651515152
C2,6961,0.998826023460441,0.9817267414253661,0.999905651515152
C2,6962,0.998825939543699,0.9817242151095764,0.999905651515152
C2,6963,0.998825855632983,0.9817216887937865,0.999905651515152
C2,6964,0.998825771728291,0.9817191624779976,0.999905651515152
C2,6965,0.998825687829622,0.981716636162208,0.999905651515152
C2,6966,0.998825603936975,0.9817141098464182,0.999905651515152
C2,6967,0.998825520050349,0.9817115835306293,0.999905651515152
C2,6968,0.998825436169741,0.9817090572148395,0.999905651515152
C2,6969,0.998825352295152,0.9817065308990497,0.999905651515152
C2,6970,0.998825268426579,0.9817040045832608,0.999905651515152
C2,6971,0.998825184564021,0.9817014782674711,0.999905651515152
C2,6972,0.998825100707478,0.9816989519516812,0.999905651515152
C2,6973,0.998825016856947,0.9816964256358923,0.999905651515152
C2,6974,0.998824933012428,0.9816938993201026,0.999905651515152
C2,6975,0.998824849173919,0.9816913730043129,0.999905651515152
C2,6976,0.998824765341418,0.9816888466885241,0.999905651515152
C2,6977,0.998824681514926,0.9816863203727342,0.999905651515152
C2,6978,0.998824597694439,0.9816837940569444,0.999905651515152
C2,6979,0.998824513879958,0.9816812677411556,0.999905651515152
C2,6980,0.99882443007148,0.9816787414253658,0.999905651515152
C2,6981,0.998824346269004,0.9816762151095759,0.999905651515152
C2,6982,0.99882426247253,0.9816736887937872,0.999905651515152
C2,6983,0.998824178682056,0.9816711624779973,0.999905651515152
C2,6984,0.99882409489758,0.9816686361622076,0.999905651515152
C2,6985,0.998824011119101,0.9816661098464188,0.999905651515152
C2,6986,0.998823927346618,0.981663583530629,0.999905651515152
C2,6987,0.99882384358013,0.9816610572148391,0.999905651515152
C2,6988,0.998823759819635,0.9816585308990503,0.999905651515152
C2,6989,0.998823676065133,0.9816560045832605,0.999905651515152
C2,6990,0.998823592316621,0.9816534782674707,0.999905651515152
C2,6991,0.998823508574098,0.981650951951682,0.999905651515152
C2,6992,0.998823424837564,0.981648425635892,0.999905651515152
C2,6993,0.998823341107017,0.9816458993201024,0.999905651515152
C2,6994,0.998823257382456,0.9816433730043135,0.999905651515152
C2,6995,0.998823173663879,0.9816408466885237,0.999905651515152
C2,6996,0.998823089951285,0.9816383203727339,0.999905651515152
C2,6997,0.998823006244673,0.981635794056945,0.999905651515152
C2,6998,0.998822922544041,0.9816332677411552,0.999905651515152
C2,6999,0.998822838849389,0.9816307414253655,0.999905651515152
C2,7000,0.998822755160714,0.9816282151095767,0.999905651515152
C2,7001,0.998822671478017,0.9816256887937868,0.999905651515152
C2,7002,0.998822587801295,0.9816231624779971,0.999905651515152
C2,7003,0.998822504130546,0.9816206361622082,0.999905651515152
C2,7004,0.998822420465771,0.9816181098464185,0.999905651515152
C2,7005,0.998822336806967,0.9816155835306286,0.999905651515152
C2,7006,0.998822253154134,0.9816130572148397,0.999905651515152
C2,7007,0.99882216950727,0.98161053089905,0.999905651515152
C2,7008,0.998822085866373,0.9816080045832603,0.999905651515152
C2,7009,0.998822002231443,0.9816054782674714,0.999905651515152
C2,7010,0.998821918602478,0.9816029519516816,0.999905651515152
C2,7011,0.998821834979477,0.9816004256358918,0.999905651515152
C2,7012,0.998821751362439,0.9815978993201029,0.999905651515152
C2,7013,0.998821667751361,0.9815953730043132,0.999905651515152
C2,7014,0.998821584146244,0.9815928466885233,0.999905651515152
C2,7015,0.998821500547086,0.9815903203727345,0.999905651515152
C2,7016,0.998821416953886,0.9815877940569447,0.999905651515152
C2,7017,0.998821333366641,0.981585267741155,0.999905651515152
C2,7018,0.998821249785352,0.9815827414253662,0.999905651515152
C2,7019,0.998821166210016,0.9815802151095764,0.999905651515152
C2,7020,0.998821082640633,0.9815776887937865,0.999905651515152
C2,7021,0.998820999077201,0.9815751624779977,0.999905651515152
C2,7022,0.998820915519719,0.9815726361622079,0.999905651515152
C2,7023,0.998820831968186,0.9815701098464181,0.999905651515152
C2,7024,0.998820748422599,0.9815675835306293,0.999905651515152
C2,7025,0.998820664882959,0.9815650572148394,0.999905651515152
C2,7026,0.998820581349264,0.9815625308990497,0.999905651515152
C2,7027,0.998820497821513,0.9815600045832609,0.999905651515152
C2,7028,0.998820414299703,0.9815574782674711,0.999905651515152
C2,7029,0.998820330783835,0.9815549519516812,0.999905651515152
C2,7030,0.998820247273906,0.9815524256358924,0.999905651515152
C2,7031,0.998820163769916,0.9815498993201026,0.999905651515152
C2,7032,0.998820080271863,0.9815473730043129,0.999905651515152
C2,7033,0.998819996779746,0.981544846688524,0.999905651515152
C2,7034,0.998819913293564,0.9815423203727341,0.999905651515152
C2,7035,0.998819829813315,0.9815397940569445,0.999905651515152
